iri	ontology	label	VeryPositive	Positive	Neutral	Negative	VeryNegative	count
http://purl.bioontology.org/ontology/MESH/D053001	MESH	Tool Use Behavior	2.0	3.0	11.0	60.0	24.0	1
http://purl.bioontology.org/ontology/MESH/D001954	MESH	Brinolase	3.0	13.666666666666666	53.333333333333336	24.666666666666668	5.0	1
http://purl.bioontology.org/ontology/MESH/D003774	MESH	Dental Plaque Index	10.0	22.0	17.0	38.0	13.0	1
http://purl.bioontology.org/ontology/MESH/D003953	MESH	Diagnosis-Related Groups	1.75	8.75	29.5	52.75	7.5	2
http://purl.bioontology.org/ontology/MESH/D014559	MESH	Urocanate Hydratase	4.0	16.0	35.5	36.0	8.0	1
http://purl.bioontology.org/ontology/MESH/D000350	MESH	Africa, Central	2.25	10.333333333333334	25.083333333333332	46.083333333333336	16.25	6
http://purl.bioontology.org/ontology/MESH/D014951	MESH	Wounds, Stab	13.0	39.0	18.5	23.25	6.0	2
http://purl.bioontology.org/ontology/MESH/D051844	MESH	alpha-Synuclein	1.0	1.0	11.0	67.0	20.0	1
http://purl.bioontology.org/ontology/MESH/D017427	MESH	Clinical Trial, Phase II	2.0	2.0	19.0	48.0	29.0	1
http://purl.bioontology.org/ontology/MESH/D017123	MESH	Bacteriophage T7	1.0	2.5	20.5	60.0	16.0	1
http://purl.bioontology.org/ontology/MESH/D001684	MESH	Biological Dressings	1.0	6.0	29.0	58.0	7.0	1
http://purl.bioontology.org/ontology/MESH/D001634	MESH	Bibliography as Topic	3.857142857142857	15.345238095238097	27.821428571428573	43.82142857142857	9.095238095238095	7
http://purl.bioontology.org/ontology/MESH/D013320	MESH	Strongyloidea	4.25	13.75	19.5	45.5	17.5	2
http://purl.bioontology.org/ontology/MESH/D004121	MESH	Dimethyl Sulfoxide	5.0	14.0	26.75	45.25	9.0	1
http://purl.bioontology.org/ontology/MESH/D053038	MESH	Quorum Sensing	2.25	8.25	29.0	50.25	10.25	1
http://purl.bioontology.org/ontology/MESH/D002130	MESH	Calcium Phosphates	3.0	7.5	19.833333333333332	47.833333333333336	22.166666666666668	3
http://purl.bioontology.org/ontology/MESH/D052586	MESH	Mating Preference, Animal	1.3333333333333333	13.0	33.0	43.666666666666664	8.666666666666666	1
http://purl.bioontology.org/ontology/MESH/D002028	MESH	Building Codes	1.0	4.0	28.0	57.0	10.0	1
http://purl.bioontology.org/ontology/MESH/D055154	MESH	Dysphonia	3.0	13.0	47.0	31.0	6.0	1
http://purl.bioontology.org/ontology/MESH/D004880	MESH	Ergothioneine	18.0	54.0	13.0	10.0	4.0	1
http://purl.bioontology.org/ontology/MESH/D015224	MESH	Dideoxynucleosides	2.6888888888888887	5.8805555555555555	20.344444444444445	54.60277777777778	16.530555555555555	6
http://purl.bioontology.org/ontology/MESH/D002200	MESH	Capillary Resistance	1.0	4.0	28.0	59.0	9.0	1
http://purl.bioontology.org/ontology/MESH/D013214	MESH	Starch Synthase	3.5	13.5	31.0	42.0	9.5	1
http://purl.bioontology.org/ontology/MESH/D054629	MESH	Genome, Mitochondrial	2.0	11.0	45.0	37.0	5.0	1
http://purl.bioontology.org/ontology/MESH/D002787	MESH	Sterol Esterase	3.0	4.0	13.0	59.0	22.0	1
http://purl.bioontology.org/ontology/MESH/D017486	MESH	Acneiform Eruptions	3.041666666666667	12.583333333333334	31.000000000000004	43.666666666666664	9.916666666666668	4
http://purl.bioontology.org/ontology/MESH/D000329	MESH	Advertising as Topic	1.0	3.5	29.0	58.0	9.0	1
http://purl.bioontology.org/ontology/MESH/D001587	MESH	Benzoylarginine-2-Naphthylamide	2.5	7.0	24.5	54.0	12.5	1
http://purl.bioontology.org/ontology/MESH/D014856	MESH	Walruses	5.5	18.0	28.5	39.5	8.0	1
http://purl.bioontology.org/ontology/MESH/D027621	MESH	Iridaceae	12.625	50.125	19.75	13.125	4.125	2
http://purl.bioontology.org/ontology/MESH/D014656	MESH	Vascular Surgical Procedures	3.03	10.593333333333335	21.426666666666666	51.95	12.983333333333334	25
http://purl.bioontology.org/ontology/MESH/D066269	MESH	Social Theory	3.0	18.0	31.0	41.0	6.0	1
http://purl.bioontology.org/ontology/MESH/D053493	MESH	Cholestanetriol 26-Monooxygenase	1.0	2.0	18.0	64.0	15.0	1
http://purl.bioontology.org/ontology/MESH/D001539	MESH	Bendroflumethiazide	5.0	26.333333333333332	34.0	27.333333333333332	7.333333333333333	1
http://purl.bioontology.org/ontology/MESH/D012522	MESH	Sarcocystis	2.3333333333333335	4.666666666666667	16.0	56.666666666666664	19.666666666666668	1
http://purl.bioontology.org/ontology/MESH/D013229	MESH	Stearic Acids	2.0	5.75	18.75	57.25	15.75	2
http://purl.bioontology.org/ontology/MESH/D016031	MESH	Liver Transplantation	1.0	12.0	71.0	15.0	2.0	1
http://purl.bioontology.org/ontology/MESH/D016831	MESH	Crithidia fasciculata	3.0	16.0	29.0	45.0	7.0	1
http://purl.bioontology.org/ontology/MESH/D002486	MESH	Centchroman	4.0	22.0	41.0	28.0	5.0	1
http://purl.bioontology.org/ontology/MESH/D066047	MESH	Vincetoxicum	7.0	45.0	30.0	14.0	3.0	1
http://purl.bioontology.org/ontology/MESH/D015273	MESH	Insurance Selection Bias	1.0	2.0	15.0	68.0	14.0	1
http://purl.bioontology.org/ontology/MESH/D015217	MESH	Cholesterol Ester Storage Disease	1.25	2.5833333333333335	16.583333333333332	60.0	19.916666666666664	2
http://purl.bioontology.org/ontology/MESH/D013712	MESH	Tenebrio	2.5	14.5	44.5	34.5	5.0	1
http://purl.bioontology.org/ontology/MESH/D057786	MESH	Peptidomimetics	2.0	4.0	23.0	55.0	16.0	1
http://purl.bioontology.org/ontology/MESH/D016569	MESH	Blepharophimosis	3.5	11.5	28.0	48.0	9.0	1
http://purl.bioontology.org/ontology/MESH/D001800	MESH	Blood Specimen Collection	4.7333333333333325	16.166666666666664	22.866666666666667	43.733333333333334	12.166666666666666	5
http://purl.bioontology.org/ontology/MESH/D001982	MESH	Bronchial Diseases	3.3153333333333332	11.315333333333333	26.710666666666672	45.49866666666666	13.092666666666664	25
http://purl.bioontology.org/ontology/MESH/D001278	MESH	Atractyloside	3.0	9.5	23.5	50.5	13.5	1
http://purl.bioontology.org/ontology/MESH/D013044	MESH	Specialty Boards	3.0	8.0	26.0	52.0	11.0	1
http://purl.bioontology.org/ontology/MESH/D001629	MESH	Bezafibrate	3.5	11.0	23.5	50.0	12.5	1
http://purl.bioontology.org/ontology/MESH/D018313	MESH	Leishmania enriettii	6.5	22.5	19.5	40.5	11.0	1
http://purl.bioontology.org/ontology/MESH/D001971	MESH	Bromocriptine	3.5	15.0	27.0	44.0	9.5	1
http://purl.bioontology.org/ontology/MESH/D004845	MESH	Epitestosterone	2.6666666666666665	5.0	19.666666666666668	56.333333333333336	16.333333333333332	1
http://purl.bioontology.org/ontology/MESH/D015938	MESH	Complement Membrane Attack Complex	1.3333333333333333	3.6666666666666665	20.666666666666668	61.666666666666664	13.0	1
http://purl.bioontology.org/ontology/MESH/D016899	MESH	Interferon-beta	2.6666666666666665	14.0	31.333333333333332	43.0	9.333333333333334	1
http://purl.bioontology.org/ontology/MESH/D013420	MESH	Sulfamethoxazole	3.25	11.25	21.25	51.91666666666667	11.916666666666668	2
http://purl.bioontology.org/ontology/MESH/D016296	MESH	Mutagenesis	1.9305555555555554	7.333333333333333	29.833333333333332	50.93055555555555	9.98611111111111	12
http://purl.bioontology.org/ontology/MESH/D004021	MESH	Dictyocaulus	7.0	25.0	31.0	31.0	7.0	1
http://purl.bioontology.org/ontology/MESH/D015355	MESH	Glaucoma, Neovascular	2.0	6.0	21.0	56.0	14.0	1
http://purl.bioontology.org/ontology/MESH/D002733	MESH	Chlorophenols	3.25	9.0	24.25	51.125	12.875	2
http://purl.bioontology.org/ontology/MESH/D057916	MESH	Influenza A Virus, H7N1 Subtype	2.0	7.666666666666667	26.333333333333332	52.666666666666664	10.666666666666666	1
http://purl.bioontology.org/ontology/MESH/D003935	MESH	Diagnostic Techniques, Cardiovascular	4.083333333333334	14.748837209302327	24.69341085271318	46.08798449612403	10.426356589147288	43
http://purl.bioontology.org/ontology/MESH/D003687	MESH	Dehydroepiandrosterone	2.5	8.5	29.25	47.5	12.25	1
http://purl.bioontology.org/ontology/MESH/D055167	MESH	Dekkera	2.3333333333333335	13.0	40.333333333333336	37.666666666666664	6.333333333333333	1
http://purl.bioontology.org/ontology/MESH/D000804	MESH	Angiotensin II	2.8125	7.25	18.5	57.5	13.875	4
http://purl.bioontology.org/ontology/MESH/D003868	MESH	Dequalinium	2.0	11.5	40.5	39.5	6.5	1
http://purl.bioontology.org/ontology/MESH/D016255	MESH	Anistreplase	1.4	3.6	22.6	54.6	18.0	1
http://purl.bioontology.org/ontology/MESH/D002977	MESH	Clergy	3.0	12.0	36.0	41.0	8.0	1
http://purl.bioontology.org/ontology/MESH/D004080	MESH	Dihydroorotase	2.5	12.0	31.0	42.5	11.5	1
http://purl.bioontology.org/ontology/MESH/D001345	MESH	Autoradiography	3.0	10.5	30.5	48.0	8.0	1
http://purl.bioontology.org/ontology/MESH/D000602	MESH	Amino Acids, Peptides, and Proteins	3.237525022747952	10.421452835911428	23.73145131938126	49.26768729147709	13.357148923263562	1570
http://purl.bioontology.org/ontology/MESH/D004923	MESH	Erythrosine	3.5	14.0	21.0	45.5	16.0	1
http://purl.bioontology.org/ontology/MESH/D014474	MESH	Unconsciousness	2.0466666666666664	6.973333333333334	25.43333333333333	50.43333333333334	15.293333333333333	5
http://purl.bioontology.org/ontology/MESH/D013519	MESH	Urogenital Surgical Procedures	3.689102564102564	14.685897435897438	31.14102564102564	42.38141025641026	8.125	26
http://purl.bioontology.org/ontology/MESH/D028323	MESH	Parvovirus, Porcine	1.0	3.0	22.0	61.0	13.0	1
http://purl.bioontology.org/ontology/MESH/D054714	MESH	Echinocandins	4.0	10.333333333333334	21.666666666666668	49.666666666666664	14.666666666666666	1
http://purl.bioontology.org/ontology/MESH/D018913	MESH	Event-Related Potentials, P300	5.0	17.5	28.0	40.75	9.0	1
http://purl.bioontology.org/ontology/MESH/D014929	MESH	Wolfram Syndrome	1.6666666666666667	7.0	28.333333333333332	50.333333333333336	12.333333333333334	1
http://purl.bioontology.org/ontology/MESH/D016976	MESH	Aggregatibacter actinomycetemcomitans	3.0	8.0	23.0	54.0	12.0	1
http://purl.bioontology.org/ontology/MESH/D000904	MESH	Antibiotics, Antitubercular	1.0	0.0	6.0	35.0	58.0	1
http://purl.bioontology.org/ontology/MESH/D054417	MESH	Receptors, Adipokine	3.0833333333333335	6.277777777777778	22.944444444444443	56.388888888888886	11.111111111111112	3
http://purl.bioontology.org/ontology/MESH/D042481	MESH	Alcaligenes faecalis	2.0	3.0	10.5	65.0	20.0	1
http://purl.bioontology.org/ontology/MESH/D054354	MESH	Iron Carbonyl Compounds	9.0	35.0	24.0	26.0	6.0	1
http://purl.bioontology.org/ontology/MESH/D000086	MESH	Acetazolamide	1.6	6.2	25.0	54.4	13.0	1
http://purl.bioontology.org/ontology/MESH/D013776	MESH	Tetrathionic Acid	7.0	13.5	22.5	45.5	12.0	1
http://purl.bioontology.org/ontology/MESH/D014307	MESH	Trioxsalen	3.0	10.0	25.5	52.0	10.0	1
http://purl.bioontology.org/ontology/MESH/D055135	MESH	Coelomomyces	3.5	25.5	38.5	28.0	4.5	1
http://purl.bioontology.org/ontology/MESH/D015862	MESH	Choroid Diseases	2.5	8.875	26.833333333333332	48.145833333333336	13.875000000000002	8
http://purl.bioontology.org/ontology/MESH/D016534	MESH	Cardiac Output, High	1.0	2.0	15.333333333333334	59.666666666666664	22.0	1
http://purl.bioontology.org/ontology/MESH/D028202	MESH	Abies	11.5	35.0	20.0	26.0	8.0	1
http://purl.bioontology.org/ontology/MESH/D013880	MESH	Thioredoxin-Disulfide Reductase	3.8333333333333335	17.666666666666668	30.5	40.666666666666664	7.166666666666667	3
http://purl.bioontology.org/ontology/MESH/D017570	MESH	MyoD Protein	2.0	3.5	21.5	57.5	15.0	1
http://purl.bioontology.org/ontology/MESH/D018335	MESH	Rhabdoid Tumor	2.8	10.6	34.8	43.0	8.8	1
http://purl.bioontology.org/ontology/MESH/D014840	MESH	Vomiting, Anticipatory	5.0	16.0	33.0	38.0	8.0	1
http://purl.bioontology.org/ontology/MESH/D015213	MESH	Neuroimmunomodulation	2.0	18.0	55.0	21.0	4.0	1
http://purl.bioontology.org/ontology/MESH/D002863	MESH	Chromogenic Compounds	2.0	4.5	21.0	44.0	29.0	1
http://purl.bioontology.org/ontology/MESH/D027041	MESH	Somatic Hypermutation, Immunoglobulin	3.0	10.0	30.0	49.0	9.0	1
http://purl.bioontology.org/ontology/MESH/D066268	MESH	Interpeduncular Nucleus	1.0	2.0	17.0	63.0	17.0	1
http://purl.bioontology.org/ontology/MESH/D051907	MESH	Lysosome-Associated Membrane Glycoproteins	15.333333333333334	20.5	20.833333333333332	35.166666666666664	7.666666666666667	3
http://purl.bioontology.org/ontology/MESH/D004212	MESH	Dissertations, Academic as Topic	2.0	3.0	13.0	63.0	19.0	1
http://purl.bioontology.org/ontology/MESH/D015370	MESH	Infant Equipment	4.0	15.111111111111112	31.88888888888889	42.0	7.444444444444444	3
http://purl.bioontology.org/ontology/MESH/D041401	MESH	Leptospira interrogans serovar pomona	3.0	9.0	19.0	58.0	12.0	1
http://purl.bioontology.org/ontology/MESH/D004842	MESH	Epispadias	5.0	26.0	21.333333333333332	43.0	5.333333333333333	1
http://purl.bioontology.org/ontology/MESH/D013803	MESH	Thematic Apperception Test	4.0	22.2	28.8	37.0	8.2	1
http://purl.bioontology.org/ontology/MESH/D052116	MESH	Sialomucins	3.6666666666666665	16.0	28.333333333333332	43.166666666666664	9.166666666666666	3
http://purl.bioontology.org/ontology/MESH/D051758	MESH	Transcription Factor TFIIH	2.0	4.5	22.0	57.25	14.5	2
http://purl.bioontology.org/ontology/MESH/D015093	MESH	Meglutol	1.0	4.0	18.5	62.0	14.5	1
http://purl.bioontology.org/ontology/MESH/D013677	MESH	Medical Laboratory Science	2.0	6.0	31.0	53.0	9.0	1
