iri	VeryPositive	Positive	Neutral	Negative	VeryNegative
http://purl.obolibrary.org/obo/DOID_0110469	2.0	7.0	23.0	57.0	11.0
http://purl.obolibrary.org/obo/DOID_0050588	2.0	3.0	19.0	57.0	18.0
http://purl.obolibrary.org/obo/DOID_0060808	2.0	2.0	19.0	56.0	21.0
http://purl.obolibrary.org/obo/DOID_0110796	2.0	4.0	23.0	60.0	12.0
http://purl.obolibrary.org/obo/DOID_0060065	1.0	2.0	10.0	64.0	23.0
http://purl.obolibrary.org/obo/DOID_0110232	2.0	13.0	50.0	30.0	4.0
http://purl.obolibrary.org/obo/DOID_0050614	3.0	8.0	24.0	55.0	11.0
http://purl.obolibrary.org/obo/DOID_3819	1.0	1.0	13.0	48.0	36.0
http://purl.obolibrary.org/obo/DOID_0050254	3.0	4.0	12.0	61.0	20.0
http://purl.obolibrary.org/obo/DOID_0050254	1.0	1.0	13.0	51.0	34.0
http://purl.obolibrary.org/obo/DOID_0090077	1.0	2.0	22.0	60.0	15.0
http://purl.obolibrary.org/obo/DOID_0080036	1.0	3.0	22.0	57.0	17.0
http://purl.obolibrary.org/obo/DOID_0080797	6.0	13.0	23.0	40.0	18.0
http://purl.obolibrary.org/obo/DOID_0060581	5.0	12.0	17.0	52.0	13.0
http://purl.obolibrary.org/obo/DOID_4376	2.0	6.0	27.0	56.0	9.0
http://purl.obolibrary.org/obo/DOID_8912	1.0	1.0	6.0	25.0	67.0
http://purl.obolibrary.org/obo/DOID_10193	2.0	4.0	17.0	55.0	22.0
http://purl.obolibrary.org/obo/DOID_0110915	2.0	6.0	24.0	56.0	11.0
http://purl.obolibrary.org/obo/DOID_3703	5.0	13.0	17.0	52.0	13.0
http://purl.obolibrary.org/obo/DOID_0050025	1.0	1.0	13.0	54.0	30.0
http://purl.obolibrary.org/obo/DOID_0050025	1.0	0.0	9.0	47.0	44.0
http://purl.obolibrary.org/obo/DOID_12003	5.0	19.0	36.0	33.0	7.0
http://purl.obolibrary.org/obo/DOID_0110230	2.0	10.0	38.0	43.0	7.0
http://purl.obolibrary.org/obo/DOID_14482	1.0	1.0	11.0	48.0	39.0
http://purl.obolibrary.org/obo/DOID_3345	1.0	1.0	13.0	67.0	18.0
http://purl.obolibrary.org/obo/DOID_0110236	2.0	4.0	16.0	64.0	14.0
http://purl.obolibrary.org/obo/DOID_0050489	2.0	6.0	31.0	52.0	8.0
http://purl.obolibrary.org/obo/DOID_0060848	1.0	1.0	14.0	48.0	36.0
http://purl.obolibrary.org/obo/DOID_0070092	2.0	5.0	14.0	63.0	15.0
http://purl.obolibrary.org/obo/DOID_1325	5.0	18.0	37.0	34.0	7.0
http://purl.obolibrary.org/obo/DOID_0111642	2.0	5.0	26.0	56.0	11.0
http://purl.obolibrary.org/obo/DOID_0060576	2.0	2.0	12.0	67.0	17.0
http://purl.obolibrary.org/obo/DOID_4467	1.0	6.0	43.0	44.0	5.0
http://purl.obolibrary.org/obo/DOID_1826	1.0	1.0	9.0	45.0	44.0
http://purl.obolibrary.org/obo/DOID_0080457	1.0	2.0	16.0	53.0	28.0
http://purl.obolibrary.org/obo/DOID_0080463	1.0	1.0	13.0	48.0	37.0
http://purl.obolibrary.org/obo/DOID_9108	3.0	10.0	27.0	50.0	10.0
http://purl.obolibrary.org/obo/DOID_0050686	3.0	18.0	36.0	38.0	5.0
http://purl.obolibrary.org/obo/DOID_0110937	2.0	1.0	11.0	48.0	39.0
http://purl.obolibrary.org/obo/DOID_4717	4.0	10.0	20.0	54.0	12.0
http://purl.obolibrary.org/obo/DOID_4717	2.0	6.0	31.0	54.0	9.0
http://purl.obolibrary.org/obo/DOID_6050	4.0	13.0	33.0	42.0	9.0
http://purl.obolibrary.org/obo/DOID_0110968	1.0	2.0	20.0	60.0	18.0
http://purl.obolibrary.org/obo/DOID_0110476	1.0	4.0	27.0	56.0	12.0
http://purl.obolibrary.org/obo/DOID_0111790	3.0	9.0	26.0	51.0	11.0
http://purl.obolibrary.org/obo/DOID_0060791	1.0	0.0	6.0	52.0	40.0
http://purl.obolibrary.org/obo/DOID_4959	1.0	1.0	12.0	56.0	30.0
http://purl.obolibrary.org/obo/DOID_0112082	1.0	2.0	15.0	69.0	13.0
http://purl.obolibrary.org/obo/DOID_13310	2.0	7.0	32.0	51.0	8.0
http://purl.obolibrary.org/obo/DOID_5679	7.0	32.0	36.0	20.0	5.0
http://purl.obolibrary.org/obo/DOID_1022	3.0	2.0	8.0	53.0	34.0
http://purl.obolibrary.org/obo/DOID_1022	2.0	3.0	17.0	63.0	15.0
http://purl.obolibrary.org/obo/DOID_0090044	1.0	1.0	23.0	40.0	35.0
http://purl.obolibrary.org/obo/DOID_8200	2.0	4.0	16.0	59.0	20.0
http://purl.obolibrary.org/obo/DOID_0111659	3.0	10.0	25.0	50.0	13.0
http://purl.obolibrary.org/obo/DOID_0070113	3.0	5.0	14.0	62.0	16.0
http://purl.obolibrary.org/obo/DOID_0050473	4.0	10.0	24.0	50.0	12.0
http://purl.obolibrary.org/obo/DOID_0050473	1.0	3.0	17.0	67.0	12.0
http://purl.obolibrary.org/obo/DOID_6786	5.0	31.0	49.0	12.0	2.0
http://purl.obolibrary.org/obo/DOID_863	1.0	4.0	27.0	59.0	9.0
http://purl.obolibrary.org/obo/DOID_0050673	20.0	57.0	11.0	9.0	3.0
http://purl.obolibrary.org/obo/DOID_0050673	2.0	23.0	61.0	13.0	2.0
http://purl.obolibrary.org/obo/DOID_0112007	1.0	2.0	13.0	60.0	24.0
http://purl.obolibrary.org/obo/DOID_127	4.0	11.0	13.0	57.0	15.0
http://purl.obolibrary.org/obo/DOID_3451	14.0	35.0	22.0	21.0	8.0
http://purl.obolibrary.org/obo/DOID_10457	1.0	3.0	25.0	61.0	10.0
http://purl.obolibrary.org/obo/DOID_10457	3.0	7.0	26.0	53.0	11.0
http://purl.obolibrary.org/obo/DOID_13078	1.0	0.0	1.0	11.0	87.0
http://purl.obolibrary.org/obo/DOID_0060081	1.0	3.0	27.0	59.0	10.0
http://purl.obolibrary.org/obo/DOID_0111675	1.0	2.0	15.0	58.0	25.0
http://purl.obolibrary.org/obo/DOID_799	1.0	2.0	13.0	67.0	17.0
